census_version	captured_at_utc	issue_number	issue_title	status	waiting_on	target_foundation_stage_wp	stage6_relevance	issue_updated_at
6	2026-08-11T08:12:31Z	4	[FCR-0004] Falcon Trading Guardian - governed protection command route	EXISTS	APPLICATION	Stage 5 accepted/closed communication baseline — Application implementation and binding verification required before Application-side closure; no new Foundation implementation stage unless Application verification later proves a residual generic gap.	NOT_STAGE6_RELEVANT	2026-08-11T08:06:33Z
6	2026-08-11T08:12:31Z	5	[FCR-0005] FSAPMA - operational market-data delivery contract	EXISTS	APPLICATION	Stage 5 accepted/closed communication baseline — Application implementation and binding verification required before Application-side closure; no new Foundation implementation stage unless Application verification later proves a residual generic gap.	NOT_STAGE6_RELEVANT	2026-08-11T08:06:51Z
6	2026-08-11T08:12:31Z	6	[FCR-0006] FSATS Applications - event evidence and replay delivery	EXISTS	APPLICATION	Stage 5 accepted/closed event/evidence baseline — Application implementation and binding verification required before Application-side closure; no new Foundation implementation stage unless Application verification later proves a residual generic gap.	NOT_STAGE6_RELEVANT	2026-08-11T08:07:06Z
6	2026-08-11T08:12:31Z	8	[FCR-0008] Falcon Awareness - research-only Internet egress boundary	ACCEPTED_FOR_PLANNING	NONE	Stage 12 — Governed External Access, Egress and Credential-Reference Security	NOT_STAGE6_RELEVANT	2026-08-11T08:07:17Z
6	2026-08-11T08:12:31Z	9	[FCR-0009] FSATS Applications - latency deadline and QoS aware transport	ACCEPTED_FOR_PLANNING	NONE	Stage 11 — Transport QoS, Deadline Governance and Observability	NOT_STAGE6_RELEVANT	2026-08-11T08:07:32Z
6	2026-08-11T08:12:31Z	10	[FCR-0010] FSATS Applications - resource pressure and load-shedding signals	FOUNDATION_IMPLEMENTED	APPLICATION	Stage 6 WP-05 through WP-09 Foundation capability chain = ACCEPTED_AND_CLOSED; WP-10 = internal Stage closure verification, separately governed	STAGE6_RELEVANT	2026-08-11T08:08:41Z
6	2026-08-11T08:12:31Z	11	[FCR-0011] FSTSimA - enforce non-Live isolation and egress guard	ACCEPTED_FOR_PLANNING	NONE	Stage 12 — Governed External Access, Egress and Credential-Reference Security	NOT_STAGE6_RELEVANT	2026-08-11T08:07:47Z
6	2026-08-11T08:12:31Z	12	[FCR-0012] FSA - comprehensive Owner governance, integrity containment, monitoring and bounded evolution control plane	ACCEPTED_FOR_PLANNING	NONE	Stage 13 — FSA / Owner Governance and Bounded Self-Maintenance & Evolution Control Plane, with any prerequisite Foundation-owned controls assigned by Foundation to the correct earlier/later governed Stage/WP where necessary.	NOT_STAGE6_RELEVANT	2026-08-11T08:12:06Z
6	2026-08-11T08:12:31Z	13	[FCR-0013] FSAPMA - governed operational provider egress and credential-reference boundary	ACCEPTED_FOR_PLANNING	NONE	Stage 12 — Governed External Access, Egress and Credential-Reference Security	NOT_STAGE6_RELEVANT	2026-08-11T08:07:57Z
6	2026-08-11T08:12:31Z	14	[FCR-0014] Trading Execution - governed external broker execution egress and credential-reference boundary	ACCEPTED_FOR_PLANNING	NONE	Stage 12 — Governed External Access, Egress and Credential-Reference Security	NOT_STAGE6_RELEVANT	2026-08-11T08:08:07Z
6	2026-08-11T08:12:31Z	16	[FCR-0016] Falcon Application - canonical cross-workstream Foundation artifact consumption boundary	ACCEPTED_FOR_PLANNING	NONE	Stage 14 — Canonical Foundation Artifact Publication and Application Consumption	NOT_STAGE6_RELEVANT	2026-08-11T08:08:21Z
6	2026-08-11T08:12:31Z	30	[FCR-0030] Falcon Awareness - MSA to FSA governed interface and transport binding clarification	ACCEPTED_FOR_PLANNING	NONE	Stage 13 — FSA / Owner Governance and Bounded Self-Maintenance & Evolution Control Plane	NOT_STAGE6_RELEVANT	2026-08-11T08:09:15Z
6	2026-08-11T08:12:31Z	31	[FCR-0031] FSATS - aggregate resource-management boundary for FSARM	FOUNDATION_IMPLEMENTED	APPLICATION	Stage 6 WP-05 through WP-09 Foundation capability chain = ACCEPTED_AND_CLOSED; WP-10 = internal Stage closure verification, separately governed	STAGE6_RELEVANT	2026-08-11T08:08:57Z
