"FCR","Issue","State","Title","UpdatedAt","URL"
"FCR-0002","2","CLOSED","[FCR-0002] FSATS - Example intake placeholder","2026-08-07T16:28:14Z","https://github.com/raed82iam/Falcon/issues/2"
"FCR-0003","3","CLOSED","[FCR-0003] Coordination - FCR workflow activation record","2026-08-07T16:28:35Z","https://github.com/raed82iam/Falcon/issues/3"
"FCR-0004","4","CLOSED","[FCR-0004] Falcon Trading Guardian - governed protection command route","2026-08-14T12:12:19Z","https://github.com/raed82iam/Falcon/issues/4"
"FCR-0005","5","CLOSED","[FCR-0005] FSAPMA - operational market-data delivery contract","2026-08-14T12:12:34Z","https://github.com/raed82iam/Falcon/issues/5"
"FCR-0006","6","CLOSED","[FCR-0006] FSATS Applications - event evidence and replay delivery","2026-08-14T12:12:49Z","https://github.com/raed82iam/Falcon/issues/6"
"FCR-0007","7","CLOSED","[FCR-0007] Falcon Trading Application - TARC Foundation resource request boundary","2026-08-10T03:40:15Z","https://github.com/raed82iam/Falcon/issues/7"
"FCR-0008","8","CLOSED","[FCR-0008] Falcon Awareness - research-only Internet egress boundary","2026-08-18T06:42:16Z","https://github.com/raed82iam/Falcon/issues/8"
"FCR-0009","9","CLOSED","[FCR-0009] FSATS Applications - latency deadline and QoS aware transport","2026-08-18T06:42:25Z","https://github.com/raed82iam/Falcon/issues/9"
"FCR-0010","10","CLOSED","[FCR-0010] FSATS Applications - resource pressure and load-shedding signals","2026-08-18T06:42:34Z","https://github.com/raed82iam/Falcon/issues/10"
"FCR-0011","11","CLOSED","[FCR-0011] FSTSimA - enforce non-Live isolation and egress guard","2026-08-18T06:43:01Z","https://github.com/raed82iam/Falcon/issues/11"
"FCR-0012","12","CLOSED","[FCR-0012] FSA - comprehensive Owner governance, integrity containment, monitoring and bounded evolution control plane","2026-08-18T06:43:30Z","https://github.com/raed82iam/Falcon/issues/12"
"FCR-0013","13","CLOSED","[FCR-0013] FSAPMA - governed operational provider egress and credential-reference boundary","2026-08-18T06:44:05Z","https://github.com/raed82iam/Falcon/issues/13"
"FCR-0014","14","CLOSED","[FCR-0014] Trading Execution - governed external broker execution egress and credential-reference boundary","2026-08-18T06:44:23Z","https://github.com/raed82iam/Falcon/issues/14"
"FCR-0016","16","CLOSED","[FCR-0016] Falcon Application - canonical cross-workstream Foundation artifact consumption boundary","2026-08-17T21:08:51Z","https://github.com/raed82iam/Falcon/issues/16"
"FCR-0029","29","CLOSED","[FCR-0029] Falcon Applications - WITHDRAWAL REQUESTED ΓÇö prior non-Trading resource-request clarification","2026-08-09T15:11:06Z","https://github.com/raed82iam/Falcon/issues/29"
"FCR-0030","30","CLOSED","[FCR-0030] Falcon Awareness - MSA to FSA governed interface and transport binding clarification","2026-08-18T06:44:45Z","https://github.com/raed82iam/Falcon/issues/30"
"FCR-0031","31","CLOSED","[FCR-0031] FSATS - aggregate resource-management boundary for FSARM","2026-08-18T06:45:01Z","https://github.com/raed82iam/Falcon/issues/31"
"FCR-0076","76","CLOSED","[FCR-0076] Shared Falcon Web - Foundation planning inputs for Web and Owner emergency mobile control","2026-08-18T21:06:11Z","https://github.com/raed82iam/Falcon/issues/76"
"FCR-0077","77","OPEN","[FCR-0077] Shared Falcon Web - Application-owned planning inputs for Web and emergency mobile control","2026-08-14T12:00:29Z","https://github.com/raed82iam/Falcon/issues/77"
"FCR-0080","80","CLOSED","[FCR-0080] FSATS - external communication contract model with Shared Applications and Foundation","2026-08-14T08:41:06Z","https://github.com/raed82iam/Falcon/issues/80"
"FCR-0081","81","CLOSED","[FCR-0081] Shared Falcon Web - FSATS user onboarding and external credential requirements","2026-08-14T08:23:53Z","https://github.com/raed82iam/Falcon/issues/81"
"FCR-0082","82","CLOSED","[FCR-0082] FSATS - generic AI/FSA containment and safety-continuity boundary","2026-08-18T20:49:02Z","https://github.com/raed82iam/Falcon/issues/82"
"FCR-0083","83","CLOSED","[FCR-0083] FSATS to Shared Web - AI-independent emergency visibility and control continuity","2026-08-14T07:31:51Z","https://github.com/raed82iam/Falcon/issues/83"
"FCR-0087","87","CLOSED","[FCR-0087] Foundation Coordination - Application ACK for future-stage Waiting On rule","2026-08-14T11:19:01Z","https://github.com/raed82iam/Falcon/issues/87"
"FCR-0088","88","CLOSED","[FCR-0088] Foundation Coordination - Shared Web ACK for future-stage Waiting On rule","2026-08-14T11:19:10Z","https://github.com/raed82iam/Falcon/issues/88"
"FCR-0092","92","CLOSED","[FCR-0092] Foundation - Shared Web-owned architecture and Foundation-facing clarification","2026-08-14T17:10:15Z","https://github.com/raed82iam/Falcon/issues/92"
"FCR-0094","94","CLOSED","[FCR-0094] Foundation - Application-owned Shared Web interaction and domain-boundary clarification","2026-08-14T17:10:30Z","https://github.com/raed82iam/Falcon/issues/94"
"FCR-0095","95","OPEN","[FCR-0095] Shared Web - Guardian user-targeted notification and action semantics","2026-08-19T18:07:09Z","https://github.com/raed82iam/Falcon/issues/95"
"FCR-0125","125","OPEN","[FCR-0125] Shared Falcon Web - chart market-data request/response and on-demand instrument contract","2026-08-19T18:07:24Z","https://github.com/raed82iam/Falcon/issues/125"
